,model,weight_g,weight_oz,OS,internal_memory,audio_jack,GPS,battery_mah,display_resolution_inches,screen_to_body_ratio_%,length_mm,width_mm,thickness_mm,GPU_new,brand_idx,GPS_new,primary_cam_MP,secondary_cam_MP,gprs,edge,sim,ppi,memory_card,battery_removable,indian_price,ram
0,Iconia Talk S,260.0,9.17,1,16.0,1,1,3400.0,7.0,69.8,191.7,101.0,9.4,3,1,1,13.0,2.0,1.0,1.0,2,225,128,0,12586.800000000001,8
1,Liquid Z6 Plus,169.0,5.96,1,32.0,1,1,4080.0,5.5,71.7,153.8,75.6,8.5,3,1,1,13.0,5.0,1.0,1.0,2,225,128,1,18510.0,8
4,Liquid X2,166.0,5.86,1,32.0,1,1,4020.0,5.5,69.0,153.3,78.8,8.5,3,1,1,13.0,13.0,1.0,1.0,3,410,128,1,17029.2,4
7,Liquid Zest,125.0,4.41,1,8.0,1,1,2000.0,5.0,66.4,145.7,71.2,8.4,3,1,1,8.0,5.0,1.0,1.0,2,210,128,1,8144.400000000001,6
9,Liquid Jade Primo,150.0,5.29,2,32.0,1,1,2870.0,5.5,70.2,156.5,75.9,8.4,1,1,1,21.0,8.0,1.0,1.0,2,410,128,0,16288.800000000001,6
10,Liquid Z330,142.0,5.01,1,8.0,1,1,2000.0,4.5,61.7,136.0,66.5,9.6,1,1,1,5.0,5.0,1.0,1.0,2,225,128,1,8144.400000000001,6
11,Liquid Z320,142.0,5.01,1,8.0,1,1,2000.0,4.5,61.7,136.0,66.5,9.6,1,1,1,5.0,2.0,1.0,1.0,2,390,128,1,6663.6,6
13,Liquid Z630,165.0,5.82,1,8.0,1,1,4000.0,5.5,68.8,156.3,77.5,8.9,3,1,1,8.0,8.0,1.0,1.0,2,210,128,1,14808.000000000002,6
15,Liquid Z530,145.0,5.11,1,8.0,1,1,2420.0,5.0,68.1,144.0,70.3,8.9,3,1,1,8.0,8.0,1.0,1.0,2,210,128,1,11106.000000000002,8
18,Iconia Tab 10 A3-A30,540.0,1.19,1,16.0,1,0,5910.0,10.1,64.6,260.0,176.0,9.7,0,1,1,5.0,2.0,0.0,0.0,1,390,128,0,18510.0,8
19,Iconia One 8 B1-820,355.0,12.52,1,16.0,1,1,4550.0,8.0,67.9,213.9,127.7,9.5,0,1,1,5.0,0.0,0.0,0.0,1,225,128,0,13327.2,4
20,Iconia Tab A3-A20,508.0,1.12,1,16.0,1,0,5910.0,10.1,67.8,256.5,170.2,10.2,3,1,1,5.0,2.0,0.0,0.0,1,410,128,0,14067.6,6
21,Iconia Tab A3-A20FHD,508.0,1.12,1,32.0,1,0,5910.0,10.1,67.8,256.5,170.2,10.2,3,1,1,5.0,2.0,0.0,0.0,1,225,128,0,17029.2,8
22,Liquid Jade Z,110.0,3.88,1,8.0,1,1,2300.0,5.0,68.8,143.5,69.8,8.0,3,1,1,13.0,5.0,1.0,1.0,2,210,128,0,14808.000000000002,4
23,Liquid Z520,118.0,4.16,1,8.0,1,1,2000.0,5.0,57.1,154.0,86.0,6.4,3,1,1,8.0,2.0,1.0,1.0,2,225,128,1,9625.2,4
24,Liquid Z220,120.0,4.23,1,8.0,1,1,1300.0,4.0,56.8,125.3,64.0,9.6,1,1,1,5.0,2.0,1.0,1.0,2,410,128,1,6663.6,8
25,Liquid M220,119.0,4.2,2,4.0,1,1,1300.0,4.0,57.0,124.9,64.0,9.6,1,1,1,5.0,2.0,1.0,1.0,2,390,128,1,5923.200000000001,6
26,Liquid Z410,145.0,5.11,1,8.0,1,1,2000.0,4.5,61.5,136.0,66.7,9.9,3,1,1,5.0,2.0,1.0,1.0,2,210,128,1,9625.2,4
27,Liquid Jade S,116.0,4.09,1,16.0,1,1,2300.0,5.0,69.8,143.0,69.0,7.8,3,1,1,13.0,5.0,1.0,1.0,2,410,128,0,14808.000000000002,4
28,Liquid Z500,150.0,5.29,1,4.0,1,1,2000.0,5.0,65.1,145.0,73.0,8.8,3,1,1,8.0,2.0,1.0,1.0,2,410,128,0,11106.000000000002,4
29,Liquid X1,164.0,5.78,1,16.0,1,1,2700.0,5.7,72.7,153.3,80.4,8.5,3,1,1,13.0,2.0,1.0,1.0,1,390,128,1,19250.4,8
30,Liquid Jade,110.0,3.88,1,8.0,1,1,2100.0,5.0,71.1,140.5,69.0,7.5,3,1,1,13.0,2.0,1.0,1.0,2,410,128,0,13327.2,4
31,Liquid E700,155.0,5.47,1,16.0,1,1,3500.0,5.0,64.1,147.3,73.0,9.9,3,1,1,8.0,2.0,1.0,1.0,3,410,128,0,14808.000000000002,6
32,Liquid E600,155.0,5.47,1,4.0,1,1,2500.0,5.0,65.1,147.0,72.0,9.5,1,1,1,8.0,2.0,1.0,1.0,1,210,128,0,14808.000000000002,8
33,Liquid Z200,130.0,4.59,1,4.0,1,1,1300.0,4.0,55.6,126.0,65.0,10.3,3,1,1,2.0,0.0,1.0,1.0,2,210,128,1,6663.6,4
34,Iconia Tab 8 A1-840FHD,360.0,12.7,1,16.0,1,1,4600.0,8.0,66.4,215.0,130.0,8.5,2,1,1,5.0,2.0,0.0,0.0,1,390,128,0,14808.000000000002,8
40,Liquid Z4,122.0,4.3,1,4.0,1,0,1630.0,4.0,57.4,124.0,64.0,9.7,3,1,0,5.0,1.3,1.0,1.0,2,390,128,1,7404.000000000001,8
41,Iconia B1-721,323.0,11.39,1,16.0,1,1,2955.0,7.0,56.7,199.0,122.3,11.4,3,1,1,0.0,0.0,1.0,1.0,1,390,128,0,9625.2,4
42,Iconia B1-720,315.0,11.11,1,8.0,1,1,2955.0,7.0,57.1,198.1,121.9,10.2,5,1,1,0.0,0.0,0.0,0.0,1,410,128,0,7404.000000000001,4
43,Iconia A1-830,380.0,13.4,1,16.0,1,1,4000.0,7.9,68.8,203.0,138.4,8.2,5,1,1,5.0,2.0,0.0,0.0,1,210,128,0,9625.2,4
44,Liquid Z5,150.0,5.29,1,4.0,1,1,2000.0,5.0,64.4,145.5,73.5,8.8,3,1,1,5.0,0.0,1.0,1.0,2,225,128,0,12586.800000000001,4
45,Liquid S2,229.0,8.08,1,16.0,1,1,3300.0,6.0,69.0,166.0,86.2,9.0,1,1,1,13.0,2.0,1.0,1.0,1,210,128,0,25173.600000000002,6
46,Liquid Z3,120.0,4.23,1,4.0,1,1,1500.0,3.5,55.8,109.0,60.0,10.4,3,1,1,3.15,0.0,1.0,1.0,2,390,128,1,7404.000000000001,8
47,Liquid S1,195.0,6.88,1,8.0,1,1,2400.0,5.7,66.2,163.0,83.0,9.6,5,1,1,8.0,2.0,1.0,1.0,2,210,128,1,23692.800000000003,8
48,Iconia Tab A3,560.0,1.23,1,16.0,1,1,7300.0,10.1,65.0,260.0,175.0,10.2,5,1,1,5.0,0.0,1.0,-99999.0,1,225,128,0,14067.6,8
49,Iconia Tab A1-811,430.0,15.17,1,8.0,1,1,4960.0,7.9,63.6,208.7,145.7,11.1,5,1,1,5.0,0.0,1.0,1.0,1,410,128,0,11106.000000000002,6
50,Iconia Tab A1-810,410.0,14.46,1,8.0,1,1,4960.0,7.9,63.6,208.7,145.7,11.1,5,1,1,5.0,0.0,0.0,0.0,1,210,128,0,8884.800000000001,8
51,Liquid E2,140.0,4.94,1,4.0,1,1,2000.0,4.5,62.7,131.0,68.0,9.9,5,1,1,8.0,2.0,1.0,1.0,2,390,128,1,13327.2,6
52,Liquid Z2,110.0,4.59,1,4.0,1,1,1300.0,3.5,53.1,110.0,62.5,12.3,1,1,1,3.0,0.0,1.0,1.0,2,410,128,1,7404.000000000001,8
53,Liquid C1,140.0,4.94,1,4.0,1,1,2000.0,4.3,61.1,127.3,65.5,10.0,5,1,1,8.0,0.0,1.0,1.0,1,210,128,1,13327.2,8
54,Liquid E1,130.0,4.59,1,4.0,1,1,1760.0,4.5,61.7,132.0,68.5,9.9,12,1,1,5.0,0.0,1.0,1.0,2,210,128,1,12586.800000000001,8
55,Iconia Tab B1-710,339.9,11.99,1,8.0,1,1,2640.0,7.0,53.8,198.1,129.5,12.7,5,1,1,0.0,0.0,0.0,0.0,1,225,128,0,8144.400000000001,6
56,Iconia Tab B1-A71,320.0,11.29,1,8.0,1,1,2710.0,7.0,54.4,197.4,128.5,11.3,12,1,1,0.0,0.0,0.0,0.0,1,390,128,0,7404.000000000001,6
57,Iconia Tab A110,390.0,13.76,1,8.0,1,1,3420.0,7.0,56.5,193.0,126.5,11.4,6,1,1,2.0,0.0,0.0,0.0,1,225,128,0,11106.000000000002,6
58,Liquid Z110,100.0,3.53,1,4.0,1,1,1300.0,3.5,53.9,110.0,61.5,12.3,5,1,1,3.15,0.0,1.0,1.0,2,390,128,1,7404.000000000001,4
59,Liquid Gallant E350,145.0,5.11,1,4.0,1,1,1500.0,4.3,60.0,129.0,65.9,9.9,5,1,1,5.0,0.0,1.0,1.0,1,390,128,1,11846.400000000001,8
60,Liquid Gallant Duo,145.0,5.11,1,4.0,1,1,1500.0,4.3,60.0,129.0,65.9,9.9,5,1,1,5.0,0.0,1.0,1.0,2,210,128,1,10365.6,4
61,Liquid Glow E330,125.0,4.41,1,1.0,1,1,1300.0,3.7,56.9,117.0,58.5,11.5,1,1,1,5.0,0.0,1.0,1.0,1,410,128,1,8884.800000000001,4
63,Iconia Tab A210,685.0,1.51,1,8.0,1,1,3260.0,10.1,65.1,259.1,175.3,12.2,6,1,1,2.0,0.0,0.0,0.0,1,225,128,0,19250.4,4
64,Iconia Tab A200,700.0,1.54,1,8.0,1,1,3260.0,10.1,65.0,260.0,175.0,12.4,6,1,1,2.0,0.0,0.0,0.0,1,210,128,0,14808.000000000002,4
65,Iconia Tab A701,667.0,1.47,1,16.0,1,1,9800.0,10.1,65.1,259.8,175.0,10.9,6,1,1,5.0,0.0,-99999.0,-99999.0,1,410,128,0,28135.2,6
66,Iconia Tab A700,665.0,1.47,1,16.0,1,1,9800.0,10.1,65.3,259.0,175.0,11.0,6,1,1,5.0,0.0,0.0,0.0,1,390,128,0,17029.2,6
67,Iconia Tab A511,777.0,1.71,1,16.0,1,1,9800.0,10.1,65.0,260.0,175.0,11.0,6,1,1,5.0,1.0,1.0,1.0,1,410,128,0,18510.0,4
68,Iconia Tab A510,680.0,1.5,1,16.0,1,1,9800.0,10.1,65.1,259.1,175.3,10.2,6,1,1,5.0,1.0,0.0,0.0,1,225,128,0,17029.2,4
69,Allegro,126.0,4.44,2,8.0,1,1,1300.0,3.6,53.9,116.0,59.0,13.0,1,1,1,5.0,0.0,1.0,1.0,1,410,128,1,10365.6,4
71,Iconia Tab A501,777.0,1.71,1,16.0,1,1,3260.0,10.1,64.3,260.0,177.0,13.3,6,1,1,5.0,2.0,1.0,1.0,1,390,128,0,36279.600000000006,8
72,Iconia Smart,185.0,6.53,1,8.0,1,1,1500.0,4.8,62.5,141.7,64.5,13.6,1,1,1,8.0,2.0,1.0,1.0,1,410,128,1,16288.800000000001,6
73,Iconia Tab A500,730.0,1.61,1,16.0,1,1,3260.0,10.1,64.3,260.0,177.0,13.3,6,1,1,5.0,2.0,0.0,0.0,1,225,128,0,14808.000000000002,6
74,Iconia Tab A101,470.0,1.04,1,8.0,1,1,1530.0,7.0,60.4,195.0,117.0,13.1,6,1,1,5.0,2.0,1.0,1.0,1,390,128,0,19250.4,6
75,Iconia Tab A100,450.0,0.99,1,8.0,1,1,1530.0,7.0,60.4,195.0,117.0,13.1,6,1,1,5.0,2.0,0.0,0.0,1,225,128,0,7404.000000000001,8
76,Liquid mini E310,108.0,3.81,1,512.0,1,1,1300.0,3.2,48.0,110.4,57.5,13.0,1,1,1,5.0,0.0,1.0,1.0,1,225,128,1,8884.800000000001,6
77,beTouch E210,109.0,3.84,1,512.0,1,1,1300.0,2.6,28.6,116.0,63.0,12.0,1,1,1,3.15,0.0,1.0,1.0,1,410,128,1,11106.000000000002,4
78,beTouch E140,95.0,3.35,1,512.0,1,1,1300.0,2.8,41.6,104.5,55.8,12.8,1,1,1,3.15,0.0,1.0,1.0,1,225,128,1,8144.400000000001,8
79,beTouch T500,130.0,4.59,1,512.0,0,1,1500.0,3.2,44.4,118.5,58.0,13.5,0,1,1,3.15,0.0,-99999.0,-99999.0,1,210,128,1,5182.8,6
80,Liquid mt,135.0,4.76,1,512.0,1,1,1500.0,3.6,50.9,115.0,63.0,13.5,1,1,1,5.0,0.0,1.0,1.0,1,225,128,1,5182.8,4
81,beTouch E130,109.0,3.84,1,512.0,1,1,1500.0,2.6,29.1,115.0,62.5,11.5,0,1,1,3.15,0.0,-99999.0,-99999.0,1,410,128,1,6663.6,4
82,beTouch E120,105.0,3.7,1,512.0,1,1,1500.0,2.8,43.0,104.5,54.0,13.2,0,1,1,3.15,0.0,-99999.0,-99999.0,1,390,128,1,5182.8,8
83,Stream,140.0,4.94,1,2.0,1,1,1400.0,3.7,51.8,119.5,63.0,11.2,1,1,1,5.0,0.0,-99999.0,-99999.0,1,225,128,1,9625.2,8
84,Liquid E,135.0,4.76,1,512.0,1,1,1350.0,3.5,48.5,115.0,62.5,12.5,1,1,1,5.0,0.0,-99999.0,-99999.0,1,390,128,1,6663.6,6
85,neoTouch P400,125.0,4.41,2,512.0,1,1,1090.0,3.2,44.7,115.0,59.3,12.0,1,1,1,3.15,0.0,-99999.0,-99999.0,1,390,128,1,7404.000000000001,6
86,beTouch E400,125.0,4.41,1,512.0,1,1,1090.0,3.2,44.7,115.0,59.3,12.0,1,1,1,3.15,0.0,-99999.0,-99999.0,1,225,128,1,5923.200000000001,4
87,neoTouch P300,130.6,4.59,2,512.0,1,1,970.0,3.2,48.2,110.0,55.0,15.1,0,1,1,3.15,0.0,-99999.0,-99999.0,1,225,128,1,5923.200000000001,4
88,beTouch E110,105.0,3.7,1,256.0,1,1,1500.0,2.8,43.4,103.5,54.0,13.4,0,1,1,3.15,0.0,-99999.0,-99999.0,1,390,128,1,5182.8,6
89,Liquid,135.0,4.76,1,512.0,1,1,1350.0,3.5,48.5,115.0,62.5,12.5,1,1,1,5.0,0.0,-99999.0,-99999.0,1,210,128,1,6663.6,8
96,F900,150.0,5.29,2,256.0,0,1,1530.0,3.8,55.1,117.5,63.5,15.8,0,1,1,3.15,0.0,-99999.0,-99999.0,1,225,128,1,15548.400000000001,6
97,X960,131.5,4.62,2,256.0,0,1,1530.0,2.8,38.7,106.4,59.0,13.7,0,1,1,3.15,0.0,-99999.0,-99999.0,1,390,128,1,19990.800000000003,4
98,DX900,147.0,5.19,2,256.0,0,1,1530.0,2.8,37.9,106.0,60.5,17.0,0,1,1,3.15,0.0,-99999.0,-99999.0,2,225,128,1,6663.6,6
104,Shine Lite,156.0,5.5,1,16.0,1,1,2460.0,5.0,68.4,141.5,71.2,7.5,3,2,1,13.0,5.0,1.0,1.0,2,225,128,0,14808.000000000002,6
106,Fierce 4,163.9,5.78,1,16.0,1,1,2500.0,5.5,71.8,150.9,77.0,8.1,1,2,1,8.0,5.0,1.0,1.0,1,210,128,0,5923.200000000001,6
107,X1,140.0,4.94,1,16.0,1,1,2150.0,5.0,68.7,145.0,69.2,7.0,1,2,1,13.0,5.0,1.0,1.0,2,390,128,0,18510.0,4
108,Pixi 4 (5),148.0,5.22,1,8.0,1,1,2000.0,5.0,67.3,140.7,72.7,9.5,0,2,1,8.0,5.0,1.0,1.0,1,390,128,1,4442.400000000001,4
109,Flash Plus 2,157.0,5.54,1,16.0,1,1,3000.0,5.5,71.5,152.6,76.4,8.2,3,2,1,13.0,5.0,1.0,1.0,2,410,128,0,10365.6,6
110,POP 7 LTE,295.1,10.41,1,8.0,1,1,3240.0,7.0,65.3,192.0,110.0,9.4,0,2,1,5.0,2.0,1.0,1.0,1,225,128,0,9625.2,8
114,Idol 4s Windows,152.0,5.36,2,64.0,1,1,3000.0,5.5,71.9,153.9,75.4,7.0,1,2,1,21.0,8.0,1.0,1.0,1,410,128,0,32577.600000000002,6
115,Idol 4s,149.0,5.26,1,32.0,1,1,3000.0,5.5,71.9,153.9,75.4,7.0,1,2,1,16.0,8.0,1.0,1.0,2,390,128,0,25914.000000000004,8
116,Idol 4,135.0,4.76,1,16.0,1,1,2610.0,5.2,69.9,147.0,72.5,7.1,1,2,1,13.0,8.0,1.0,1.0,2,390,128,0,18510.0,6
120,Pixi 4 (6) 3G,179.0,6.31,1,8.0,1,1,2580.0,6.0,68.2,168.5,86.4,8.0,0,2,1,13.0,8.0,1.0,1.0,2,410,128,1,8884.800000000001,8
125,Pop 3 (5.5),174.0,6.14,1,8.0,1,1,2500.0,5.5,70.6,151.9,77.8,9.5,0,2,1,5.0,2.0,1.0,1.0,2,390,128,1,8884.800000000001,8
126,Pop 3 (5),167.0,5.89,1,8.0,1,1,2000.0,5.0,68.3,141.0,71.5,9.9,0,2,1,5.0,5.0,1.0,1.0,2,410,128,1,8144.400000000001,6
127,Fierce XL,173.0,6.1,1,16.0,1,1,2500.0,5.5,70.6,151.9,77.8,9.5,1,2,1,8.0,2.0,-99999.0,-99999.0,1,410,128,0,9625.2,4
130,Flash 2,140.0,4.94,1,16.0,1,1,3000.0,5.0,67.1,145.8,70.4,9.0,3,2,1,13.0,5.0,1.0,1.0,2,410,128,0,17029.2,8
140,Flash Plus,147.0,5.19,1,16.0,1,1,3500.0,5.5,71.7,152.3,76.4,8.0,3,2,1,13.0,8.0,1.0,1.0,2,225,128,1,9625.2,6
141,Pop Astro,144.9,5.11,1,4.0,1,1,2000.0,4.5,64.0,133.6,65.3,9.9,3,2,1,5.0,0.0,1.0,1.0,1,390,128,1,9625.2,6
143,Idol 3 (5.5),141.0,4.97,1,16.0,1,1,2910.0,5.5,72.7,152.7,75.1,7.4,1,2,1,13.0,8.0,1.0,1.0,2,210,128,0,18510.0,6
144,Idol 3 (4.7),110.0,3.88,1,8.0,1,1,2000.0,4.7,68.7,134.6,65.9,7.6,1,2,1,13.0,5.0,1.0,1.0,2,410,128,0,14808.000000000002,8
148,Pixi 3 (8) 3G,335.0,11.82,1,4.0,1,1,3240.0,8.0,71.6,209.0,124.0,9.2,3,2,1,2.0,0.0,1.0,1.0,1,210,128,0,7404.000000000001,4
149,Pixi 3 (7) LTE,260.0,9.17,1,4.0,1,1,2820.0,7.0,66.2,191.0,109.0,9.2,1,2,1,2.0,0.0,1.0,1.0,1,410,128,0,9625.2,8
150,Pixi 3 (7) 3G,260.0,9.17,1,4.0,1,1,2820.0,7.0,65.7,189.0,111.0,9.1,3,2,1,2.0,0.0,1.0,1.0,1,410,128,0,7404.000000000001,6
151,Pixi 3 (7),260.0,9.17,1,4.0,1,0,2820.0,7.0,65.7,189.0,111.0,9.1,3,2,0,2.0,0.0,0.0,0.0,1,225,128,0,5923.200000000001,4
152,POP 10,380.0,13.4,1,8.0,1,1,4600.0,9.6,74.4,245.2,146.4,7.9,1,2,1,5.0,2.0,1.0,1.0,1,210,128,0,18510.0,4
154,Pixi 3 (4.5),125.0,4.41,1,4.0,1,1,1400.0,4.5,64.8,132.2,65.1,10.0,3,2,1,5.0,0.0,1.0,1.0,2,390,128,1,4442.400000000001,8
155,Pixi 3 (4),110.0,3.88,1,4.0,1,1,1400.0,4.0,58.5,121.3,64.2,11.6,3,2,1,2.0,0.0,1.0,1.0,2,390,128,1,3702.0000000000005,4
156,Pixi 3 (3.5) Firefox,98.0,3.46,3,512.0,1,1,1300.0,3.5,52.4,112.2,62.0,11.9,3,2,1,2.0,0.0,1.0,1.0,2,410,128,1,2961.6000000000004,6
158,Pop D3,114.0,4.02,1,4.0,1,1,1400.0,4.0,58.2,121.6,64.4,12.1,0,2,1,5.0,0.0,1.0,1.0,1,210,128,1,9625.2,4
159,Pop D1,101.0,3.56,1,4.0,1,1,1300.0,3.5,52.4,112.2,62.0,12.0,0,2,1,2.0,0.0,1.0,1.0,1,410,128,1,5923.200000000001,8
160,Pop Icon,149.0,5.26,1,4.0,1,1,2000.0,5.0,67.8,141.0,72.1,9.9,0,2,1,5.0,0.0,1.0,1.0,1,225,128,1,8884.800000000001,8
161,Fire C 2G,93.0,3.28,3,256.0,1,0,1000.0,3.5,52.4,112.2,62.0,12.0,0,2,0,1.3,0.0,1.0,1.0,2,410,128,1,2221.2000000000003,8
165,Pop 2 (4.5) Dual SIM,147.0,5.19,1,8.0,1,1,2000.0,4.5,64.4,132.5,65.4,9.9,1,2,1,5.0,0.0,1.0,1.0,2,210,128,1,13327.2,4
166,Pop 2 (4.5),147.0,5.19,1,8.0,1,1,2000.0,4.5,64.4,132.5,65.4,10.0,1,2,1,5.0,0.0,1.0,1.0,1,210,128,1,9625.2,6
168,Evolve 2,121.1,4.27,1,4.0,1,1,1400.0,4.0,58.1,121.6,64.5,11.7,0,2,1,5.0,0.0,1.0,1.0,1,210,128,1,4442.400000000001,8
169,POP 8S,327.0,11.53,1,8.0,1,1,4100.0,8.0,69.4,209.0,128.0,7.2,1,2,1,5.0,3.0,1.0,1.0,1,390,128,0,18510.0,8
170,Hero 8,310.0,10.93,1,8.0,1,1,4060.0,8.0,72.8,209.0,122.0,7.3,3,2,1,5.0,2.0,1.0,1.0,1,390,128,0,20731.2,8
171,Hero 2,175.0,6.17,1,16.0,1,1,3100.0,6.0,75.8,160.5,81.6,7.9,3,2,1,13.1,5.0,1.0,1.0,1,210,128,0,34058.4,6
172,Pixi 2,100.0,3.53,1,4.0,1,1,1300.0,3.5,52.3,112.5,62.0,12.0,0,2,1,2.0,0.0,1.0,1.0,2,390,128,1,5923.200000000001,4
173,Pop D5,150.0,5.29,1,4.0,1,1,1800.0,4.5,62.0,132.5,67.9,10.0,0,2,1,5.0,0.0,1.0,1.0,1,390,128,1,7404.000000000001,8
174,Pop C2,116.0,4.09,1,4.0,1,1,1300.0,4.0,58.0,122.0,64.4,12.0,0,2,1,3.15,0.0,1.0,1.0,2,410,128,1,2961.6000000000004,6
175,Pixi 8,325.0,11.46,1,8.0,1,1,3240.0,8.0,71.3,209.0,124.5,9.0,0,2,1,0.0,0.0,0.0,0.0,1,390,128,0,7404.000000000001,4
178,2052,74.0,2.61,0,128.0,1,0,750.0,1.8,21.0,108.5,44.8,13.0,0,2,0,0.0,0.0,1.0,1.0,1,410,128,1,3702.0000000000005,6
179,2040,77.9,2.75,0,4.0,1,0,850.0,2.4,28.1,123.4,51.5,12.4,0,2,0,0.0,0.0,-99999.0,0.0,2,390,128,1,2221.2000000000003,8
180,2005,85.0,3.0,0,128.0,0,0,850.0,2.4,29.7,120.0,50.0,10.0,0,2,0,2.0,0.0,1.0,0.0,2,225,128,1,1480.8000000000002,4
181,POP 7S,279.0,9.84,1,4.0,1,1,3240.0,7.0,63.6,192.0,113.0,9.0,1,2,1,3.0,0.0,1.0,1.0,1,210,128,0,14067.6,8
183,Pop S9,182.0,6.42,1,8.0,1,1,3400.0,5.9,70.0,162.4,84.4,8.6,0,2,1,8.0,2.0,1.0,1.0,2,210,128,1,20731.2,8
184,Pop S7,162.0,5.71,1,4.0,1,1,3000.0,5.0,67.9,141.0,72.0,9.4,0,2,1,5.0,0.0,1.0,1.0,1,210,128,1,10365.6,4
185,Pop S3,130.0,4.59,1,4.0,1,1,2000.0,4.0,57.5,123.0,64.4,9.9,0,2,1,5.0,0.0,1.0,1.0,1,390,128,1,8884.800000000001,8
188,Fire E,103.0,3.63,3,4.0,1,1,1700.0,4.5,68.1,129.0,63.5,8.2,0,2,1,5.0,0.0,1.0,1.0,1,410,128,1,5182.8,6
189,Fire C,100.0,3.53,3,4.0,1,1,1300.0,3.5,52.4,112.2,62.0,12.0,0,2,1,0.0,0.0,1.0,1.0,1,210,128,1,2221.2000000000003,6
190,Idol 2 S,126.0,4.44,1,8.0,1,1,2150.0,5.0,72.4,136.5,69.7,7.5,0,2,1,8.0,1.3,1.0,1.0,1,210,128,0,20731.2,8
191,Idol 2,128.0,4.52,1,8.0,1,1,2000.0,5.0,72.4,136.0,70.0,7.3,0,2,1,8.0,2.0,1.0,1.0,2,210,128,0,14808.000000000002,6
192,Idol 2 Mini S,116.0,4.09,1,4.0,1,1,2000.0,4.5,67.9,129.5,63.5,8.5,0,2,1,8.0,2.0,1.0,1.0,1,225,128,0,14808.000000000002,6
193,Idol 2 Mini,110.0,3.88,1,4.0,1,1,1700.0,4.5,68.1,129.0,63.5,7.9,0,2,1,8.0,0.0,1.0,1.0,2,210,128,0,11846.400000000001,4
194,Pop Fit,78.0,2.75,1,4.0,1,1,1000.0,2.8,44.5,97.0,56.2,12.0,0,2,1,2.0,0.0,1.0,1.0,1,410,128,1,6663.6,8
197,Idol X+,125.0,4.41,1,16.0,1,1,2500.0,5.0,71.0,140.4,69.1,7.9,3,2,1,13.1,2.0,1.0,1.0,2,225,128,0,21471.600000000002,4
198,Pop C9,189.0,6.67,1,4.0,1,1,2500.0,5.5,71.3,151.0,77.5,9.5,0,2,1,8.0,2.0,1.0,1.0,2,390,128,0,10365.6,4
200,POP 7,285.0,10.05,1,4.0,1,1,3240.0,7.0,63.6,192.0,113.0,8.9,3,2,1,2.0,0.0,1.0,1.0,1,390,128,0,11846.400000000001,6
201,Fierce,130.0,4.59,1,4.0,1,1,1800.0,4.5,63.9,130.3,67.0,9.0,5,2,1,5.0,0.0,1.0,1.0,1,225,128,1,8144.400000000001,6
202,Evolve,136.5,4.83,1,4.0,1,1,1400.0,4.0,58.6,121.5,64.0,11.8,5,2,1,5.0,0.0,1.0,1.0,1,410,128,1,5182.8,6
203,Pop C7,162.0,5.71,1,4.0,1,1,1900.0,5.0,68.0,141.0,71.8,9.9,0,2,1,5.0,0.0,1.0,1.0,2,225,128,1,9625.2,6
204,Pop C5,157.0,5.54,1,4.0,1,1,1800.0,4.5,62.5,131.5,67.9,11.5,0,2,1,5.0,0.0,1.0,1.0,2,210,128,1,7404.000000000001,6
205,Pop C3,110.0,3.88,1,4.0,1,1,1300.0,4.0,58.0,122.0,64.4,12.0,3,2,1,5.0,0.0,1.0,1.0,2,390,128,1,5923.200000000001,8
206,Pop C1,100.0,3.53,1,4.0,1,1,1300.0,3.5,52.3,112.5,62.0,12.0,0,2,1,2.0,0.0,1.0,1.0,2,210,128,1,5182.8,8
207,Idol Alpha,117.4,4.16,1,16.0,1,1,2000.0,4.7,66.3,138.0,66.6,7.5,5,2,1,13.0,1.3,1.0,1.0,1,225,128,0,26654.4,4
209,Hero,177.6,6.24,1,8.0,1,1,3400.0,6.0,77.7,158.5,80.6,8.5,5,2,1,13.0,2.0,1.0,1.0,2,410,128,0,27394.800000000003,8
210,Idol S,110.0,3.88,1,4.0,1,1,2000.0,4.7,68.3,133.5,66.8,7.4,5,2,1,8.0,1.3,1.0,1.0,1,410,128,0,11846.400000000001,4
211,Idol Mini,96.0,3.39,1,4.0,1,1,1700.0,4.3,64.7,127.1,62.0,7.9,3,2,1,5.0,0.0,1.0,1.0,2,210,128,0,9625.2,8
212,One Touch T10,340.0,11.99,1,4.0,1,0,3000.0,7.0,61.8,192.0,117.6,11.3,7,2,0,0.0,0.0,0.0,0.0,1,390,128,0,9625.2,6
214,One Touch Pixi,118.0,4.16,1,512.0,1,0,1300.0,3.5,50.9,115.0,62.3,12.2,0,2,0,2.0,0.0,1.0,1.0,2,225,128,1,3702.0000000000005,6
216,Idol X,130.0,4.59,1,8.0,1,1,2000.0,5.0,72.7,140.4,67.5,6.9,5,2,1,13.1,2.1,1.0,1.0,2,390,128,0,27394.800000000003,4
217,One Touch Fire,108.0,3.81,3,160.0,1,1,1400.0,3.5,50.9,115.0,62.3,12.2,1,2,1,3.15,0.0,1.0,1.0,1,210,128,1,8884.800000000001,8
219,One Touch Scribe Easy,163.0,5.75,1,4.0,1,1,2500.0,5.0,63.5,143.0,78.4,9.8,1,2,1,5.0,0.0,1.0,1.0,2,410,128,1,12586.800000000001,8
